title,environment,morphology
Shapes of Krill Swarms and Fish Schools Emerge as Aggregation Members Avoid Predators and Access Oxygen ,OWLClass_000868,OWLClass_001134
Leg regeneration stunts wing growth and hinders flight performance in a stick insect (Sipyloidea sipylus),OWLClass_000854,OWLClass_001134
To break a coralline: mechanical constraints on the size and survival of a wave-swept seaweed ,OWLClass_000868,OWLClass_001135
A buckling region in locust hindlegs contains resilin and absorbs energy when jumping or kicking goes wrong ,OWLClass_000860,OWLClass_001134
PATTERN FORMATION IN SHOOTS: A LIKELY ROLE FOR MINIMAL ENERGY CONFIGURATIONS OF THE TUNICA ,OWLClass_000835,OWLClass_001135
Holdfast heroics: comparing the molecular and mechanical properties of Mytilus californianus byssal threads ,OWLClass_000882,OWLClass_001134
MECHANICAL DESIGN OF MUSSEL BYSSUS: MATERIAL YIELD ENHANCES ATTACHMENT STRENGTH ,OWLClass_000882,OWLClass_001134
Factors Involved in the Formation of Amorphous and Crystalline Calcium Carbonate: A Study of an Ascidian Skeleton ,OWLClass_000833,OWLClass_001134
HYDRAULIC AND STRUCTURAL CHANGES FOR LATERAL ROOTS OF TWO DESERT SUCCULENTS IN RESPONSE TO SOIL DRYING AND REWETTING ,OWLClass_000847,OWLClass_001135
Biomechanics of the stick insect antenna: Damping properties and structural correlates of the cuticle ,OWLClass_000854,OWLClass_001134
Evaluation of predation risk by a caterpillar using substrate-borne vibrations ,OWLClass_000835,OWLClass_001134
"The function of wall-following behaviors in the Mexican blind cave fish and a sighted relative, the Mexican tetra (Astyanax) ",OWLClass_000876,OWLClass_001134
Evolutionary Convergence on Sleep Loss in Cavefish Populations ,OWLClass_000876,OWLClass_001134
Variation of Cellulose microfibril Angles in Softwoods and HardwoodsA Possible Strategy of Mechanical Optimization ,OWLClass_000855,OWLClass_001135
"In species with reduced locomotory abilities, camouflage seems to be far more important than other behavioural tactics (e.g. running) to elude predatory attacks",OWLClass_000837,OWLClass_001134
Evidence for an elastic projection mechanism in the chameleon tongue ,OWLClass_000862,OWLClass_001134
THE MECHANICS OF PREY PREHENSION IN CHAMELEONS,OWLClass_000837,OWLClass_001134
"Chemical mimicry and host specificity in the butterfly Maculinea rebeli, a social parasite of Myrmica ant colonies",OWLClass_000854,OWLClass_001134
A structural model of the chitin-binding domain of cuticle proteins ,OWLClass_000835,OWLClass_001134
A Chiton Uses Aragonite Lenses to Form Images ,OWLClass_000868,OWLClass_001134
Microstructure and Mechanics of the Chorioamnion Membrane with an Emphasis on Fracture Properties ,OWLClass_000833,OWLClass_001134
TYMBAL MECHANICS AND THE CONTROL OF SONG FREQUENCY IN THE CICADA CYCLOCHILA AUSTRALASIAE ,OWLClass_001257,OWLClass_001134
Energetic considerations of ciliary beating and the advantage of metachronal coordination,OWLClass_000833,OWLClass_001134
Cuticle Strength and the Size-Dependence of Safety Factors in Cancer Crab Claws,OWLClass_000868,OWLClass_001134
Mechanical architecture and development in Clematis: implications for canalised evolution of growth forms,OWLClass_000835,OWLClass_001135
Mechanical architecture and development in Clematis: implications for canalised evolution of growth forms,OWLClass_000835,OWLClass_001135
"As sensory cells, hair cells within the mammalian inner ear convert sounds into receptor potentials when their projecting stereocilia are deflected",OWLClass_000833,OWLClass_001134
GELATINOUS FIBERS ARE WIDESPREAD IN COILING TENDRILS AND TWINING VINES,OWLClass_000835,OWLClass_001135
Cold hardening modulates potassium ion homeostasis in the brain of Drosophila melanogaster during chill coma,OWLClass_000835,OWLClass_001134
Cessation of cell elongation in rye coleoptiles is accompanied by a loss of cell-wall plasticity ,OWLClass_000860,OWLClass_001135
Branching toughens fibrous networks ,OWLClass_000833,OWLClass_001134
Structural colouration of mammalian skin: convergent evolution of coherently scattering dermal collagen arrays ,OWLClass_000859,OWLClass_001134
Mesoscale vortices and the paradox of the plankton ,OWLClass_000868,OWLClass_001135
Fracture mechanisms of the Strombus gigas conch shell: implications for the design of brittle laminates ,OWLClass_000868,OWLClass_001134
HOW DOES THE CONTRACTILE VACUOLE OF PARAMECIUM MULTIMICRONUCLEATUM EXPEL FLUID? MODELLING THE EXPULSION MECHANISM ,OWLClass_000868,
THE CONTROL OF FLIGHT FORCE BY A FLAPPING WING: LIFT AND DRAG PRODUCTION ,OWLClass_000835,OWLClass_001134
Bright-White Beetle Scales Optimise Multiple Scattering of Light ,OWLClass_000835,OWLClass_001134
Mechanical properties of coral skeleton: compressive strength and its adaptive significance ,OWLClass_000886,OWLClass_001134
Architectural and Mechanical Properties of the Black Coral Skeleton (Coelenterata: Antipatharia): A Comparison of Two Species,OWLClass_000886,OWLClass_001134
"Mechanoreceptors involved in the hindwing-evoked escape behaviour in cricket, Gryllus bimaculatus ",OWLClass_000835,OWLClass_001134
Cryptic coloration and mirrored sides as camouflage strategies in near-surface pelagic habitats: Implications for foraging and predator avoidance ,OWLClass_000835,OWLClass_001134
"Insect cuticle, an in vivo model of protein trafficking ",OWLClass_000835,OWLClass_001134
A conserved domain in arthropod cuticular proteins binds chitin,OWLClass_000835,OWLClass_001134
"CUTTLEFISH CAMOUFLAGE: VISUAL PERCEPTION OF SIZE, CONTRAST AND NUMBER OF WHITE SQUARES ON ARTIFICIAL CHECKERBOARD SUBSTRATA INITIATES DISRUPTIVE COLORATION",OWLClass_000883,OWLClass_001134
Chemistry-Specific Interfacial Forces Between Barnacle (Semibalanus Balanoides) Cyprid Footprint Proteins and Chemically Functionalised AFM Tips ,OWLClass_000882,OWLClass_001134
Is cytoskeletal tension a major determinant of cell deformability in adherent endothelial cells?,OWLClass_000906,
Dazzle coloration and prey movement ,OWLClass_000868,OWLClass_001134
Cockroaches breathe discontinuously to reduce respiratory water loss ,OWLClass_000835,OWLClass_001134
"Background-matching and disruptive coloration, and the evolution of cryptic coloration ",OWLClass_000854,OWLClass_001134
Changes in macromolecular organization in collagen assemblies during secretion in the nidamental gland and formation of the egg capsule wall in the dogfish Scyliorhinus canicula  ,OWLClass_000868,OWLClass_001134
Dolphin sonar-modelling a new receiver concept ,OWLClass_000868,OWLClass_001134
Ultrabithorax and the control of cell morphology in Drosophila halteres ,OWLClass_000835,OWLClass_001134
The mechanical basis of Drosophila audition ,OWLClass_000835,OWLClass_001134
Drought Avoidance in Katsura by Drought-induced Leaf Abscission and Rapid Refoliation ,OWLClass_000854,OWLClass_001135
ONTOGENETIC SCALING OF BURROWING FORCES IN THE EARTHWORM LUMBRICUS TERRESTRIS,OWLClass_000777; OWLClass_000835,OWLClass_001141
Elastic joints in dermapteran hind wings: materials and wing folding,OWLClass_000854; OWLClass_000860,OWLClass_001142
The Chorionic Plastron and its Role in the Eggs of the Muscinae (Diptera),OWLClass_000868,OWLClass_001142
Function-structure relationship of elastic arteries in evolution: from microfibrils to elastin and elastic fibres,OWLClass_000833,OWLClass_000726; OWLClass_000970; OWLClass_000969
ENERGY STORAGE BY PASSIVE ELASTIC STRUCTURES IN THE MANTLE OF SEPIA OFFICINALIS,OWLClass_000878,OWLClass_001159
Short Elastin-like Peptides Exhibit the Same Temperature-induced Structural Transitions as Elastin Polymers: Implications for Protein Engineering,OWLClass_000833,OWLClass_000975; OWLClass_000974; OWLClass_000717; OWLClass_000728
"Plasticity of electric organ discharge waveform in the South African Bulldog fish, Marcusenius pongolensis: tradeoff between male attractiveness and predator avoidance?",OWLClass_000870,OWLClass_001146
Electroreception and the Compass Sense of Sharks,OWLClass_000878,OWLClass_001146
"Characterization and Ultrastructural Localization of Chitinases from Metarhizium anisopliae, M jlavoviride, and Beauveria bassiana during Fungal Invasion of Host (Manduca sexta) Cuticle",OWLClass_000835,OWLClass_001189; OWLClass_001142
Skeleton of Euplectella sp.: Structural Hierarchy from the Nanoscale to the Macroscale,OWLClass_000895,OWLClass_001168
Caching Jays,OWLClass_000835,OWLClass_001146
EXPLOSIVE ANTHER DEHISCENCE IN RICINUS COMMUNIS L. INVOLVES CELL WALL MODIFICATIONS AND RELATIVE HUMIDITY,OWLClass_000859,OWLClass_001135
Speed-Accuracy Tradeoffs and False Alarms in Bee Responses to Cryptic Predators,OWLClass_000835,OWLClass_001142
"Size, Speed and Buoyancy Adaptations in Aquatic Animals",OWLClass_000868,OWLClass_001134
Mechanical Properties of the Extracellular Matrix Influence Fibronectin Fibril Assembly in Vitro ,OWLClass_000833,OWLClass_000975; OWLClass_000974; OWLClass_000717; OWLClass_000728
Filter-feeding and cruising swimming speeds of basking sharks compared with optimal models: they filter-feed slower than predicted for their size,OWLClass_000878,OWLClass_001146
Task selection by workers of the fire ant Solenopsis invicta,OWLClass_000835,OWLClass_001142
Improved light extraction in the bioluminescent lantern of the firefly Photuris (Lampyridae),OWLClass_000835,OWLClass_001142
Variation in secondary metabolite and aragonite concentrations in the tropical green seaweed Neomeris annulata: effects on herbivory by fishes,OWLClass_000878,OWLClass_001177
A MECHANICAL ANALYSIS OF MYOMERE SHAPE IN FISH,OWLClass_000868,OWLClass_001146
Hydrodynamic aspects of fish olfaction,OWLClass_000868,OWLClass_001146
Fish locomotion: kinematics and hydrodynamics of flexible foil-like fins,OWLClass_000868,OWLClass_001146
Selective Pressure Causes an RNA Virus to Trade Reproductive Fitness for Increased Structural and Thermal Stability of a Viral Enzyme,OWLClass_000833,OWLClass_000975; OWLClass_000974; OWLClass_000717; OWLClass_000728
Estimating Power Curve,OWLClass_000835,OWLClass_001146
Hyperacute directional hearing in a microscale auditory system,OWLClass_000835,OWLClass_001142
Experimental support for the foldability function tradeoff hypothesis: Segregation of the folding nucleus and functional regions in fibroblast growth factor-1,OWLClass_000833,OWLClass_000975; OWLClass_000974; OWLClass_000717; OWLClass_000728
Parsimonious use of foraging pheromones during nest migration in ants,OWLClass_000847; OWLClass_000862; OWLClass_000861; OWLClass_000859; OWLClass_000854; OWLClass_000864; OWLClass_001254,OWLClass_001142
Costs to females and benefits to males from forced copulations in fruit flies,OWLClass_000835,OWLClass_001142
ENERGY SAVINGS IN FORMATION FLIGHT OF PINK-FOOTED GEESE,OWLClass_000835; OWLClass_000869,OWLClass_001146
Songbirds tradeoff auditory frequency resolution and temporal resolution,OWLClass_000835,OWLClass_001146
Jumping in frogs: assessing the design of the skeletal system by anatomically realistic modeling and forward dynamic simulation,OWLClass_000835,OWLClass_001146
In vivo and in vitro swelling of cell walls during fruit ripening,OWLClass_000835,OWLClass_001135
GAS EXCHANGE IN GAS GILLS OF DIVING INSECTS,OWLClass_000869,OWLClass_001142
Frictional Adhesion,OWLClass_000835,OWLClass_001146
"Economy, Speed and Size Matter: Evolutionary Forces Driving Nuclear Genome Miniaturization and Expansion",OWLClass_000833,OWLClass_000975; OWLClass_000974; OWLClass_000717; OWLClass_000728
Photoinhibition of radish (Raphanus sativus L.) seed germination: control of growth potential by cell-wall yielding in the embryo,OWLClass_000835,OWLClass_001135
The hydrodynamics of water strider locomotion,OWLClass_000869,OWLClass_001142
MAINTENANCE OF DYNAMIC STRAIN SIMILARITY AND ENVIRONMENTAL STRESS FACTOR IN DIFFERENT FLOW HABITATS: THALLUS ALLOMETRY AND MATERIAL PROPERTIES OF A GIANT KELP,OWLClass_000890,OWLClass_001211
"Grazing in a turbulent environment: Energy dissipation, encounter rates, and efficacy of feeding currents in Centropages hamatus",OWLClass_000878,OWLClass_001142
COMPARATIVE ANALYSIS OF TIME SPENT GROOMING BY BIRDS IN RELATION TO PARASITE LOAD,OWLClass_000835,OWLClass_001146
The growth-mortality tradeoff: evidence from anuran larvae and consequences for species distributions,OWLClass_000869; OWLClass_000854; OWLClass_000843; OWLClass_000844,OWLClass_001146
Physical strain-mediated microtubule reorientation in the epidermis of gravitropically or phototropically stimulated maize coleoptiles,OWLClass_000861,OWLClass_001135
TREES HAVE HIGHER LONGITUDINAL GROWTH STRAINS IN THEIR STEMS THAN IN THEIR ROOTS,OWLClass_000835,OWLClass_001135
"Composition, morphology and mechanics of hagfish slime",OWLClass_000895,OWLClass_001146
Electroreception in juvenile scalloped hammerhead and sandbar sharks,OWLClass_000879; OWLClass_000837,OWLClass_001146
Hedgehog Spines,OWLClass_000854; OWLClass_000860,OWLClass_001146
Plant structural traits and their role in anti-herbivore defence,OWLClass_000835,OWLClass_001135
The hierarchy of chirality,OWLClass_000835,OWLClass_001135
"Homing with locale, taxon, and dead reckoning strategies by foraging rats: sensory hierarchy in spatial navigation",OWLClass_000835,OWLClass_001146
An eco-physiological model of the impact of temperature on Aedes aegypti life history traits,OWLClass_000835,OWLClass_001142
Very Low Force-Generating Ability and Unusually High Temperature-dependency in Hummingbird Flight Muscle Fibers,OWLClass_000856; OWLClass_000857; OWLClass_001257; OWLClass_000849; OWLClass_000859,OWLClass_001146
"Genome-wide analysis of transcriptional changes in the thoracic muscle of the migratory locust, Locusta migratoria, exposed to hypobaric hypoxia",OWLClass_000835,OWLClass_001142
The effect of tick challenge on grooming rate by impala,OWLClass_000862,OWLClass_001142; OWLClass_001146
Correlations and the encoding of information in the nervous system,OWLClass_000833,OWLClass_001134
CYTOSKELETAL STABILITY AFFECTS COTTON FIBER INITIATION,OWLClass_000835,OWLClass_001135
Insect diets as mixtures: Optimization for a polyphagous weevil,OWLClass_000835,OWLClass_001142
RESONATORS IN INSECT SOUND PRODUCTION: HOW INSECTS PRODUCE LOUD PURE-TONE SONGS,OWLClass_000835,OWLClass_001142
The Mechanical Properties of Hydrated Intermediate Filaments: Insights from Hagfish Slime Threads,OWLClass_000895,OWLClass_001146
Box Jellyfish Use Terrestrial Visual Cues for Navigation,OWLClass_000887; OWLClass_000879; OWLClass_000837,OWLClass_001147
BALLISTICS AND VISUAL TARGETING IN FLEA-BEETLES (ALTICINAE),OWLClass_000835,OWLClass_001142
Probing the limits to muscle-powered accelerations: lessons from jumping bullfrogs,OWLClass_000874; OWLClass_000870; OWLClass_000844; OWLClass_000843,OWLClass_001146
Locusts use a composite of resilin and hard cuticle as an energy store for jumping and kicking,OWLClass_000835,OWLClass_001142
FLOW AND FLEXIBILITY II. THE ROLES OF SIZE AND SHAPE IN DETERMINING WAVE FORCES ON THE BULL KELP NEREOCYSTIS LUETKEANA,OWLClass_000890,OWLClass_001211
LIGHT PERCEPTION FOR SUN-TRACKING IS ON THE LAMINA IN CROTALARIA PALLIDA (FABACEAE),OWLClass_000860; OWLClass_000863,OWLClass_001135
A unique form of light reflector and the evolution of signalling in Ovalipes (Crustacea: Decapoda: Portunidae),OWLClass_000837,OWLClass_001142
A deepwater fish with ‘Lightsabers ­dorsal spine-associated luminescence in a counter-illuminating lantern shark,OWLClass_000895,OWLClass_001146
Certain Biominerals in Leaves Function as Light Scatterers,OWLClass_000835,OWLClass_001135
"Fatigue Damage, Remodeling, and the Minimization of Skeletal Weight",OWLClass_000833,OWLClass_001134
Discovery of Lignin in Seaweed Reveals Convergent Evolution of Cell-Wall Architecture,OWLClass_000879; OWLClass_000837,OWLClass_001187
"LIMITS TO OPTIMIZATION: FLUID DYNAMICS, ADHESIVE STRENGTH AND THE EVOLUTION OF SHAPE IN LIMPET SHELLS",OWLClass_000879; OWLClass_000837,OWLClass_001159
THE SPECIFIC LOCATION OF ZINC IN INSECT MANDIBLES,OWLClass_000835,OWLClass_001142
Extended longevity lines of Drosophila melanogaster: Abundance of yolk protein gene mRNA in fat body and ovary,OWLClass_000835,OWLClass_001142
Hyperactive antifreeze proteins from longhorn beetles: Some structural insights,OWLClass_000835,OWLClass_001142
"Purity of the sacred lotus, or escape from contamination in biological surfaces",OWLClass_000835,OWLClass_001135
Bacterial bioluminescence as a lure for marine zooplankton and fish,OWLClass_000878,OWLClass_001138
Tooth hardness increases with zinc-content in mandibles of young adult leaf-cutter ants,OWLClass_000859,OWLClass_001142
The aerodynamics of Manduca sexta: digital particle image velocimetry analysis of the leading-edge vortex,OWLClass_000835,OWLClass_001142
Extreme impact and cavitation forces of a biological hammer: strike forces of the peacock mantis shrimp Odontodactylus scyllarus,OWLClass_000884,OWLClass_001142
Burrowing in marine muds by crack propagation: kinematics and forces,OWLClass_000890,OWLClass_001141
Experience of mating rivals causes males to modulate sperm transfer in the fly Drosophila pseudoobscura,OWLClass_000835,OWLClass_001142
Interplay between behavioural thermoregulation and immune response in mealworms,OWLClass_000835,OWLClass_001142
The Biomechanics of Chewing and Plant Fracture: Mechanisms and Implications,OWLClass_000835,OWLClass_001142; OWLClass_001135
Cilia internal mechanism and metachronal coordination as the result of hydrodynamical coupling,OWLClass_000833,OWLClass_000730
Dynamics and mechanics of the microtubule plus end,OWLClass_000833,OWLClass_000730
Increased Expression of Vacuolar Aquaporin and H+ -ATPase Related to Motor Cell Function in Mimosa pudica,OWLClass_000854,OWLClass_001135
Continuous dental replacement in a hyper-chisel tooth digging rodent,OWLClass_000862; OWLClass_000861,OWLClass_001146
BEHAVIORS ASSOCIATED WITH EGG AND PARASITE DEPOSITION BY GRAVID AND LAMBORNELLA CLARKI-INFECTED AEDES SIERRENSIS,OWLClass_000856,OWLClass_001142
Strain- and sex-specific differences in daily flight activity and the circadian clock of Anopheles gambiae mosquitoes,OWLClass_000861; OWLClass_000854; OWLClass_000843; OWLClass_000844; OWLClass_000874; OWLClass_000870,OWLClass_001142
Adhesion of Bovine Airway Smooth Muscle Cells Activates Extracellular Signal-regulated Kinases,OWLClass_000861,OWLClass_001146
A motor and a brake: two leg extensor muscles acting at the same joint manage energy differently in a running insect,OWLClass_000835,OWLClass_001142
The notochord of hagfish Myxine glutinosa: visco-elastic properties and mechanical functions during steady swimming,OWLClass_000895,OWLClass_001146
On the mechanics of mother-of-pearl,OWLClass_000878,OWLClass_001159
Inhomogeneous fibril stretching in antler starts after macroscopic yielding: Indication for a nanoscale toughening mechanism,OWLClass_000835,OWLClass_001146
A comparative study of the functional morphology of parapodia and setae in nereids,OWLClass_000878; OWLClass_000837,OWLClass_001141
Squeaking with a sliding joint: mechanics and motor control of sound production in palinurid lobsters,OWLClass_000879; OWLClass_000837,OWLClass_001142
Nosehouse: heat-conserving ventilators based on nasal counterflow exchangers,OWLClass_000835,OWLClass_001146
"Biophysical properties of the pelt of a diurnal marsupial, the numbat (Myrmecobius fasciatus), and its role in thermoregulation",OWLClass_000854,OWLClass_001146
"Crypsis, conspicuousness, mimicry and polyphenism as antipredator defences of foraging octopuses on Indo-Pacific coral reefs, with a method of quantifying crypsis from video tapes",OWLClass_000878,OWLClass_001159
Organization of Octopus Arm Movements: A Model System for Studying the Control of Flexible Arms,OWLClass_000878,OWLClass_001159
Ovipositor steering mechanisms in parasitic wasps of the families Gasteruptiidae and Aulacidae (Hymenoptera),OWLClass_000854,OWLClass_001142
"Chemical mimicry and host specificity in the butterfly Maculinea rebeli, a social parasite of Myrmica ant colonies",OWLClass_001254,OWLClass_001142
The physiology of sterol nutrition in the pea aphid Acyrthosiphon pisum,OWLClass_000835,OWLClass_001142
Heat Transfer through Penguin Feathers,OWLClass_000840,OWLClass_001146
"Characterisation of the slime gland secretion from the peripatus, Euperipatoides kanangrensis (Onychophora: Peripatopsidae)",OWLClass_000859,OWLClass_001163
Sutural pattern and shell stress in Baculites with implications for other cephalopod shell morphologies,OWLClass_000878,OWLClass_001159
Prey Capture by a Carnivorous Plant with Hanging Adhesive Traps: Pinguicula longifolia,OWLClass_000779,OWLClass_001135
"Insect aquaplaning: Nepenthes pitcher plants capture prey with the peristome, a fully wettable water-lubricated anisotropic surface",OWLClass_000858;OWLClass_000865;OWLClass_000863;OWLClass_000861,OWLClass_001135
EXPRESSION OF PATTERN IN PLANTS: COMBINING MOLECULAR AND CALCULUS-BASED BIOPHYSICAL PARADIGMS,,OWLClass_001135
"Optical cues used in predation by jumping spiders, Phidippus audax",OWLClass_000860,OWLClass_001142
The role of proline in the elastic mechanism of hydrated spider silks,OWLClass_000860,OWLClass_001142
"Properties of catalytic, linker and chitin-binding domains of insect chitinase ",,OWLClass_001134
"Hierarchies, multiple energy barriers, and robustness govern the fracture mechanics of a-helical and p-sheet protein domains",,OWLClass_000712
Respiratory Evolution Facilitated the Origin of Pterosaur Flight and Aerial Gigantism,OWLClass_000838,OWLClass_001146
Hydrodynamics of pulsed jetting in juvenile and adult brief squid Lolliguncula brevis: evidence of multiple jet 'modes' and their implications for propulsive efficiency,OWLClass_000891,OWLClass_001159
Localized fluidization burrowing mechanics of Ensis directus,OWLClass_000887,OWLClass_001159
Distribution of humic compounds in mounds of some soil-feeding termite species of tropical rainforests: its influence on soil structure stability,OWLClass_000859,OWLClass_001134
"Acropora reticulata: structure, mechanics and ecology of a reef coral",OWLClass_000886,OWLClass_001147
Emergent patterns of growth controlled by multicellular form and mechanics,,OWLClass_000717
ENTRAINING THE NATURAL FREQUENCIES OF RUNNING AND BREATHING IN GUINEA FOWL (NUMIDA MELEAGRIS),OWLClass_000865;OWLClass_000862,OWLClass_001146
Is risk taking during foraging a personality trait? A field test for cross-context consistency in boldness,OWLClass_000891;OWLClass_000859,OWLClass_001146
EXTERNAL WORK AND POTENTIAL FOR ELASTIC STORAGE AT THE LIMB JOINTS OF RUNNING DOGS,OWLClass_000835,OWLClass_001146
"Localization of the bioadhesive precursors of the sandcastle worm, Phragmatopoma californica (Fewkes)",OWLClass_000883,OWLClass_001141
Packing a pinch: chela shapes of scorpions,OWLClass_000835,OWLClass_001142
THE AUTONOMOUS INFLATION OF INSECT WINGS,OWLClass_000835,OWLClass_001142
HETEROCERCAL TAIL FUNCTION IN LEOPARD SHARKS: A THREEDIMENSIONAL KINEMATIC ANALYSIS OF TWO MODELS,OWLClass_000878,OWLClass_001146
Biology Meets Engineering: The Structural Mechanics of Fossil and Extant Shark Teeth,OWLClass_000878,OWLClass_001146
The bio-geometry of mollusc shells,OWLClass_000878;OWLClass_000835,OWLClass_001159
Evidence for antiseptic behaviour towards sick adult bees in honey bee colonies,OWLClass_000854,OWLClass_001134
Only xylem-borne factors can account for systemic wound signalling in the tomato plant,OWLClass_000835,OWLClass_001135
Sequence-structure correlations in silk: Poly-Ala repeat of N. clavipes MaSpl is naturally optimized at a critical length scale,OWLClass_000835,OWLClass_001142
Jaws that snap: control of mandible movements in the ant Mystrium,OWLClass_000859,OWLClass_001142
Is solid always best? Cranial performance in solid and fenestrated caecilian skulls,OWLClass_000777;OWLClass_000870,OWLClass_001146
Why are birds' eggs speckled?,OWLClass_000835,OWLClass_001146
